日期,类别,标签/趋势,热度,趋势方向,链接,工艺结合建议
2026-02-13,TikTok,#Crochet,740万+,↑+51%,https://www.tiktok.com/tag/crochetersoftiktok,钩针编织、治愈系手工
2026-02-13,TikTok,#ChunkyKnit,高,↑+197%,https://www.tiktok.com/tag/chunkyknit,粗针织物、冬季配饰
2026-02-13,TikTok,#OfficeOutfits,高,↑+811%,https://www.tiktok.com/tag/officeoutfits,职场手工配饰
2026-02-13,TikTok,#GothFashion,高,↑+48%,https://www.tiktok.com/tag/gothfashion,暗黑哥特刺绣
2026-02-13,TikTok,#AirpodsCase,中,↑+75%,https://www.tiktok.com/tag/airpodscase,手工耳机壳套
2026-02-13,TikTok,#NikeTech,中,↑+1125%,https://www.tiktok.com/tag/niketech,简约手工配饰
2026-02-13,时装周,Electric Blues,⭐⭐⭐,→热门,https://www.cosmopolitan.com/style-beauty/fashion/a69800583/fashion-trends-2026/,陶瓷上釉、亮色刺绣
2026-02-13,时装周,Band Jackets,⭐⭐⭐,→热门,https://www.cosmopolitan.com/style-beauty/fashion/a69800583/fashion-trends-2026/,徽章刺绣、编织装饰
2026-02-13,时装周,Playing House,⭐⭐,→新兴,https://www.cosmopolitan.com/style-beauty/fashion/a69800583/fashion-trends-2026/,皮革编织、家居布艺
2026-02-13,时装周,Surf's Up,⭐⭐,→新兴,https://www.cosmopolitan.com/style-beauty/fashion/a69800583/fashion-trends-2026/,热带刺绣、海洋元素
2026-02-13,年度回顾,Labubu,⭐⭐⭐,⭐年度,https://www.elle.com/fashion/trend-reports/a69879343/2025-biggest-fashion-trends/,毛绒编织、刺绣挂件
2026-02-13,年度回顾,配件大胆化,⭐⭐⭐,⭐年度,https://www.elle.com/fashion/trend-reports/a69879343/2025-biggest-fashion-trends/,金属工艺、大尺寸配饰
2026-02-13,年度回顾,标语T恤,⭐⭐,⭐年度,https://www.elle.com/fashion/trend-reports/a69879343/2025-biggest-fashion-trends/,标语刺绣、个性化
2026-02-13,色彩,Cloud Dancer,⭐⭐⭐,⭐年度,https://www.vistaprint.com/hub/pantone-color-of-the-year,陶瓷白坯、极简编织
2026-02-13,IP,Wuthering Heights,⭐⭐⭐,↑热点,https://www.tiktok.com/tag/wutheringheights,哥特刺绣、复古陶瓷
2026-02-13,IP,Stranger Things,⭐⭐⭐,⭐最终季,https://www.tiktok.com/tag/strangerthings,80年代复古刺绣
2026-02-13,IP,Wednesday S2,⭐⭐⭐,→热门,https://www.tiktok.com/tag/wednesdayaddams,黑白哥特风格
2026-02-13,IP,Honkai×Crunchyroll,⭐⭐⭐,进行中,https://collectiveactions.tech/ultimate-list-upcoming-anime-game-collab-campaigns-you-shouldnt-miss/,游戏主题刺绣
2026-02-13,IP,Nike×One Piece,⭐⭐⭐,2026确认,https://respawn.outlookindia.com/pop-culture/pop-culture-guides/one-piece-jjk-naruto-the-10-biggest-anime-collabs-of-2025,联名服饰刺绣
2026-02-13,怀旧,Monchhichi,⭐⭐,↑复兴,https://otakupopmall.com/blogs/column/2026-trend-forecast-the-next-big-japanese-character-goods-that-will-go-global,复古编织、怀旧设计
2026-02-13,盲盒,Sonny Angel,⭐⭐⭐,⭐热门,https://otakupopmall.com/collections/sonny-angel,微型刺绣、收藏盒
2026-02-13,节日,情人节,⭐⭐⭐,⭐本周,2月14日,心形刺绣、情侣陶瓷
